run,epoch,lr,bs,loss,cw,balance,arch,seed,eval_loss,macro_f1,accuracy,r_supp,r_neut,r_opp,cm
large_tgall,2.0,0.0002,16,ce,effnum,over,lora,42,0.6737106442451477,0.7744570778271024,0.8973312401883831,0.5728476821192053,0.955735180908391,0.7087719298245614,"[[173, 128, 1], [43, 2483, 72], [4, 79, 202]]"
large_tgall,3.0,0.0002,16,ce,effnum,over,lora,42,0.7129726409912109,0.7658894264778716,0.8885400313971743,0.6589403973509934,0.9407236335642802,0.656140350877193,"[[199, 103, 0], [83, 2444, 71], [5, 93, 187]]"
large_tgall,4.0,0.0002,16,ce,effnum,over,lora,42,0.8331613540649414,0.7621070164234959,0.8926216640502355,0.5927152317880795,0.955735180908391,0.6350877192982456,"[[179, 122, 1], [55, 2483, 60], [4, 100, 181]]"
large_tgall,5.0,0.0002,16,ce,effnum,over,lora,42,0.9419543743133545,0.7726349929973422,0.8957613814756672,0.6225165562913907,0.953810623556582,0.656140350877193,"[[188, 113, 1], [64, 2478, 56], [5, 93, 187]]"
large_tgall,5.0,0.0002,16,ce,effnum,over,lora,42,0.6737106442451477,0.7744570778271024,0.8973312401883831,0.5728476821192053,0.955735180908391,0.7087719298245614,"[[173, 128, 1], [43, 2483, 72], [4, 79, 202]]"
large_lr1e4,0,0.0001,16,ce,effnum,over,lora,42,0.5008003115653992,0.7181501985377222,0.8734693877551021,0.5960264900662252,0.9430331023864511,0.5333333333333333,"[[180, 122, 0], [81, 2450, 67], [13, 120, 152]]"
large_lr1e4,1.0,0.0001,16,ce,effnum,over,lora,42,0.44543322920799255,0.7454108637614446,0.8524332810047096,0.8410596026490066,0.8610469591993841,0.7859649122807018,"[[254, 47, 1], [192, 2237, 169], [11, 50, 224]]"
large_lr1e4,2.0,0.0001,16,ce,effnum,over,lora,42,0.5243908166885376,0.7650762846010801,0.8734693877551021,0.7748344370860927,0.8976135488837568,0.7578947368421053,"[[234, 67, 1], [142, 2332, 124], [7, 62, 216]]"
large_lr1e4,3.0,0.0001,16,ce,effnum,over,lora,42,0.5643220543861389,0.7780878041759197,0.8894819466248037,0.7615894039735099,0.9268668206312548,0.6842105263157895,"[[230, 72, 0], [98, 2408, 92], [10, 80, 195]]"
large_lr1e4,4.0,0.0001,16,ce,effnum,over,lora,42,0.6596934199333191,0.7668566890665532,0.8828885400313972,0.7384105960264901,0.9214780600461894,0.6842105263157895,"[[223, 79, 0], [93, 2394, 111], [9, 81, 195]]"
large_lr1e4,5.0,0.0001,16,ce,effnum,over,lora,42,0.6876163482666016,0.7705484959893746,0.8863422291993721,0.7284768211920529,0.9272517321016166,0.6807017543859649,"[[220, 82, 0], [93, 2409, 96], [9, 82, 194]]"
large_lr1e4,5.0,0.0001,16,ce,effnum,over,lora,42,0.5643220543861389,0.7780878041759197,0.8894819466248037,0.7615894039735099,0.9268668206312548,0.6842105263157895,"[[230, 72, 0], [98, 2408, 92], [10, 80, 195]]"
